Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?,Final?,FetchDate,Ticker
2026-03-03 03:00:00,85.25,85.3099975586,82.5500030518,84.4800033569,36088800,0.0,0,False,True,1774560922184,VALE3.SA
2026-03-04 03:00:00,85.3899993896,85.6299972534,83.5800018311,84.0899963379,17605800,0.0,0,False,True,1774560922184,VALE3.SA
2026-03-05 03:00:00,84.1299972534,84.3000030518,80.5500030518,81.2900009155,37872100,0.0,0,False,True,1774560922184,VALE3.SA
2026-03-06 03:00:00,80.9000015259,81.1999969482,78.4000015259,78.8600006104,29504600,0.0,0,False,True,1774560922184,VALE3.SA
2026-03-09 03:00:00,77.7200012207,80.0999984741,76.5500030518,79.2600021362,30576600,0.0,0,False,True,1774560922184,VALE3.SA
2026-03-10 03:00:00,80.1600036621,80.9899978638,79.6699981689,80.5599975586,17172800,0.0,0,False,True,1774560922184,VALE3.SA
2026-03-11 03:00:00,79.7900009155,80.9400024414,78.8000030518,79.8499984741,20865000,0.0,0,False,True,1774560922184,VALE3.SA
2026-03-12 03:00:00,79.7699966431,79.7699966431,77.6600036621,79.2399978638,29136500,0.0,0,False,True,1774560922184,VALE3.SA
2026-03-13 03:00:00,79.3000030518,80.4899978638,78.0199966431,78.3000030518,14416400,0.0,0,False,True,1774560922184,VALE3.SA
2026-03-16 03:00:00,79.3899993896,80.1999969482,78.8099975586,78.8399963379,13591400,0.0,0,False,True,1774560922184,VALE3.SA
2026-03-17 03:00:00,79.0999984741,79.7099990845,78.6299972534,78.9599990845,14222300,0.0,0,False,True,1774560922184,VALE3.SA
2026-03-18 03:00:00,78.6500015259,78.6699981689,77.0500030518,77.1299972534,19412200,0.0,0,False,True,1774560922184,VALE3.SA
2026-03-19 03:00:00,74.1699981689,76.7099990845,74.0599975586,76.6299972534,27262900,0.0,0,False,True,1774560922184,VALE3.SA
2026-03-20 03:00:00,76.2099990845,76.6999969482,74.7099990845,75.5500030518,44208900,0.0,0,False,True,1774560922184,VALE3.SA
2026-03-23 03:00:00,76.5599975586,78.4199981689,75.9700012207,77.4899978638,23384500,0.0,0,False,True,1774560922184,VALE3.SA
2026-03-24 03:00:00,76.9800033569,78.4100036621,76.5599975586,78.0999984741,15700300,0.0,0,False,True,1774560922184,VALE3.SA
2026-03-25 03:00:00,79.1999969482,80.25,79.0,79.5500030518,18658300,0.0,0,False,False,1774560922184,VALE3.SA
2026-03-26 03:00:00,78.1299972534,79.5899963379,78.0100021362,78.9100036621,13465400,0.0,0,False,False,1774560922184,VALE3.SA
2026-02-25 03:00:00,47.925293329,48.0839205445,46.6661881516,47.3800125122,28980200,0.0,0,False,True,1774560925198,ITUB4.SA
2026-02-26 03:00:00,47.3800129831,47.736925167,46.7554166614,47.2610397339,26516600,0.0,0,False,True,1774560925198,ITUB4.SA
2026-02-27 03:00:00,47.1916384776,47.2114673516,45.8829630494,46.3786735535,44765800,0.0,0,False,True,1774560925198,ITUB4.SA
2026-03-02 03:00:00,45.454495621,45.9503988918,45.2065439856,45.5437545776,47144000,0.018182,0,False,True,1774560925198,ITUB4.SA
2026-03-03 03:00:00,43.8576837951,44.5023557376,43.0840721672,44.0163726807,54352300,0.0,0,False,True,1774560925198,ITUB4.SA
2026-03-04 03:00:00,44.8693274718,45.1172790954,44.1552255851,44.6412086487,27146100,0.0,0,False,True,1774560925198,ITUB4.SA
2026-03-05 03:00:00,44.4329309097,44.6312929685,42.9749779122,43.1534996033,37085400,0.0,0,False,True,1774560925198,ITUB4.SA
2026-03-06 03:00:00,43.1039109507,43.2328468592,42.3005500816,42.5782546997,26063600,0.0,0,False,True,1774560925198,ITUB4.SA
2026-03-09 03:00:00,42.1716142062,42.925385506,42.0030051283,42.8063697815,40970400,0.0,0,False,True,1774560925198,ITUB4.SA
2026-03-10 03:00:00,43.222929105,43.837848076,42.469154046,43.4411239624,50383100,0.0,0,False,True,1774560925198,ITUB4.SA
2026-03-11 03:00:00,42.9154688908,44.0758807118,42.8460427366,43.5303878784,18482600,0.0,0,False,True,1774560925198,ITUB4.SA
2026-03-12 03:00:00,42.7369416987,42.8658776015,41.9534136655,42.3402175903,27095200,0.0,0,False,True,1774560925198,ITUB4.SA
2026-03-13 03:00:00,42.4790741429,42.9948101926,41.9831708937,42.0525970459,24896600,0.0,0,False,True,1774560925198,ITUB4.SA
2026-03-16 03:00:00,42.8956299937,43.1138286287,42.4989058908,42.6476783752,17777300,0.0,0,False,True,1774560925198,ITUB4.SA
2026-03-17 03:00:00,42.5484996694,43.0245663277,41.9236605253,42.3600540161,22436600,0.0,0,False,True,1774560925198,ITUB4.SA
2026-03-18 03:00:00,42.1517771365,42.6873535658,41.9236620907,41.9335784912,23872800,0.0,0,False,True,1774560925198,ITUB4.SA
2026-03-19 03:00:00,41.3583303153,42.2509538631,41.0310323661,42.2311210632,32908000,0.0,0,False,True,1774560925198,ITUB4.SA
2026-03-20 03:00:00,42.1100006104,42.2700004578,41.2000007629,41.5499992371,37660900,0.34888,0,False,True,1774560925198,ITUB4.SA
2026-03-23 03:00:00,42.5400009155,43.1399993896,42.0600013733,42.7799987793,27535500,0.0,0,False,True,1774560925198,ITUB4.SA
2026-03-24 03:00:00,42.5,42.8100013733,41.9599990845,42.5400009155,18609000,0.0,0,False,True,1774560925198,ITUB4.SA
2026-03-25 03:00:00,43.1500015259,43.5,42.8499984741,43.0999984741,35148900,0.0,0,False,False,1774560925198,ITUB4.SA
2026-03-26 03:00:00,42.6899986267,42.8400001526,41.9399986267,41.9399986267,18151300,0.0,0,False,False,1774560925198,ITUB4.SA
2026-02-25 03:00:00,21.5607125838,21.5707038749,21.0511681727,21.1510791779,34124600,0.0,0,False,True,1774560927945,BBDC4.SA
2026-02-26 03:00:00,21.1710616986,21.3608905116,20.681499871,20.9612483978,40191400,0.0,0,False,True,1774560927945,BBDC4.SA
2026-02-27 03:00:00,21.4807834396,21.8804255411,21.1011239196,21.1310958862,69034600,0.0,0,False,True,1774560927945,BBDC4.SA
2026-03-02 03:00:00,20.9312767075,21.3409101177,20.4816781326,21.211025238,32108900,0.0,0,False,True,1774560927945,BBDC4.SA
2026-03-03 03:00:00,20.4099998474,20.5,19.9200000763,20.2000007629,57300000,0.018975,0,False,True,1774560927945,BBDC4.SA
2026-03-04 03:00:00,20.5499992371,20.6900005341,20.1499996185,20.4899997711,64157000,0.0,0,False,True,1774560927945,BBDC4.SA
2026-03-05 03:00:00,20.3700008392,20.3899993896,19.7999992371,19.8299999237,46790000,0.0,0,False,True,1774560927945,BBDC4.SA
2026-03-06 03:00:00,19.7099990845,19.8299999237,19.3400001526,19.5499992371,37187000,0.0,0,False,True,1774560927945,BBDC4.SA
2026-03-09 03:00:00,19.3199996948,19.7399997711,19.1100006104,19.5499992371,38655600,0.0,0,False,True,1774560927945,BBDC4.SA
2026-03-10 03:00:00,19.7999992371,20.25,19.6800003052,20.0300006866,32907500,0.0,0,False,True,1774560927945,BBDC4.SA
2026-03-11 03:00:00,19.8099994659,20.2700004578,19.7399997711,19.9400005341,23976900,0.0,0,False,True,1774560927945,BBDC4.SA
2026-03-12 03:00:00,19.5599994659,19.5900001526,19.1599998474,19.3899993896,45693900,0.0,0,False,True,1774560927945,BBDC4.SA
2026-03-13 03:00:00,19.4799995422,19.6499996185,18.8700008392,18.9899997711,33706400,0.0,0,False,True,1774560927945,BBDC4.SA
2026-03-16 03:00:00,19.3400001526,19.4799995422,19.0,19.0,34664900,0.0,0,False,True,1774560927945,BBDC4.SA
2026-03-17 03:00:00,18.9099998474,19.2000007629,18.6800003052,18.8500003815,24004200,0.0,0,False,True,1774560927945,BBDC4.SA
2026-03-18 03:00:00,18.7199993134,18.9300003052,18.6000003815,18.6299991608,26382300,0.0,0,False,True,1774560927945,BBDC4.SA
